Document,Product_Type,Size,Configuration,Price,Unit,FDOT_Code,Notes
End_Sections,Straight Endwalls,15",Single,$996,EA,FDOT 430-030,
End_Sections,Straight Endwalls,15",Double,$1288,EA,FDOT 430-030,
End_Sections,Straight Endwalls,15",Triple,$1572,EA,FDOT 430-030,
End_Sections,Straight Endwalls,15",Quad,$1864,EA,FDOT 430-030,
End_Sections,Straight Endwalls,18",Single,$1264,EA,FDOT 430-030,
End_Sections,Straight Endwalls,18",Double,$1612,EA,FDOT 430-030,
End_Sections,Straight Endwalls,18",Triple,$1968,EA,FDOT 430-030,
End_Sections,Straight Endwalls,18",Quad,$2316,EA,FDOT 430-030,
End_Sections,Straight Endwalls,24",Single,$1816,EA,FDOT 430-030,
End_Sections,Straight Endwalls,24",Double,$2284,EA,FDOT 430-030,
End_Sections,Straight Endwalls,24",Triple,$2744,EA,FDOT 430-030,
End_Sections,Straight Endwalls,24",Quad,$3216,EA,FDOT 430-030,
End_Sections,Straight Endwalls,30",Single,$2640,EA,FDOT 430-030,
End_Sections,Straight Endwalls,30",Double,$3344,EA,FDOT 430-030,
End_Sections,Straight Endwalls,30",Triple,$4032,EA,FDOT 430-030,
End_Sections,Straight Endwalls,30",Quad,$4732,EA,FDOT 430-030,
End_Sections,Straight Endwalls,36",Single,$3668,EA,FDOT 430-030,
End_Sections,Straight Endwalls,36",Double,$4640,EA,FDOT 430-030,
End_Sections,Straight Endwalls,36",Triple,$5604,EA,FDOT 430-030,
End_Sections,Straight Endwalls,36",Quad,$6584,EA,FDOT 430-030,
End_Sections,Straight Endwalls,42",Single,$5128,EA,FDOT 430-030,
End_Sections,Straight Endwalls,42",Double,$6568,EA,FDOT 430-030,
End_Sections,Straight Endwalls,42",Triple,$8020,EA,FDOT 430-030,
End_Sections,Straight Endwalls,42",Quad,$9460,EA,FDOT 430-030,
End_Sections,Straight Endwalls,48",Single,$6600,EA,FDOT 430-030,
End_Sections,Straight Endwalls,48",Double,$8424,EA,FDOT 430-030,
End_Sections,Straight Endwalls,48",Triple,$10240,EA,FDOT 430-030,
End_Sections,Straight Endwalls,48",Quad,$12060,EA,FDOT 430-030,
End_Sections,Straight Endwalls,54",Single,$9484,EA,FDOT 430-030,
End_Sections,Straight Endwalls,54",Double,$12336,EA,FDOT 430-030,
End_Sections,Straight Endwalls,54",Triple,$15204,EA,FDOT 430-030,
End_Sections,Straight Endwalls,54",Quad,$18056,EA,FDOT 430-030,
End_Sections,Winged Endwall,15",45 Degree,$452,EA,FDOT 430-040,
End_Sections,Winged Endwall,15",U-Type,$476,EA,FDOT 430-040,
End_Sections,Winged Endwall,18",45 Degree,$600,EA,FDOT 430-040,
End_Sections,Winged Endwall,18",U-Type,$568,EA,FDOT 430-040,
End_Sections,Winged Endwall,24",45 Degree,$820,EA,FDOT 430-040,
End_Sections,Winged Endwall,24",U-Type,$820,EA,FDOT 430-040,
End_Sections,Winged Endwall,30",45 Degree,$1068,EA,FDOT 430-040,
End_Sections,Winged Endwall,30",U-Type,$1076,EA,FDOT 430-040,
End_Sections,Winged Endwall,36",45 Degree,$1392,EA,FDOT 430-040,
End_Sections,Winged Endwall,36",U-Type,$1400,EA,FDOT 430-040,
End_Sections,Winged Endwall,42",45 Degree,$1896,EA,FDOT 430-040,
End_Sections,Winged Endwall,42",U-Type,$1772,EA,FDOT 430-040,
End_Sections,Winged Endwall,48",45 Degree,$2220,EA,FDOT 430-040,
End_Sections,Winged Endwall,48",U-Type,$2140,EA,FDOT 430-040,
End_Sections,U-Type Endwall,15",U-Type,$688,EA,FDOT 430-010,
End_Sections,U-Type Endwall,15",U-Type with Grate,$688,EA,FDOT 430-010,
End_Sections,U-Type Endwall,18",U-Type,$820,EA,FDOT 430-010,
End_Sections,U-Type Endwall,18",U-Type with Grate,$820,EA,FDOT 430-010,
End_Sections,U-Type Endwall,24",U-Type,$1336,EA,FDOT 430-010,
End_Sections,U-Type Endwall,24",U-Type with Grate,$1336,EA,FDOT 430-010,
End_Sections,U-Type Endwall,30",U-Type,$1888,EA,FDOT 430-010,
End_Sections,U-Type Endwall,30",U-Type with Grate,$1888,EA,FDOT 430-010,
End_Sections,U-Type Endwall,15",2:1,$1304,EA,FDOT 430-011,
End_Sections,U-Type Endwall,15",2:1 with Grate,$1304,EA,FDOT 430-011,
End_Sections,U-Type Endwall,15",2:1 with Baffles,$1304,EA,FDOT 430-011,
End_Sections,U-Type Endwall,15",2:1 with Grate and Baffles,$1304,EA,FDOT 430-011,
End_Sections,U-Type Endwall,18",2:1,$1532,EA,FDOT 430-011,
End_Sections,U-Type Endwall,18",2:1 with Grate,$1532,EA,FDOT 430-011,
End_Sections,U-Type Endwall,18",2:1 with Baffles,$1532,EA,FDOT 430-011,
End_Sections,U-Type Endwall,18",2:1 with Grate and Baffles,$1532,EA,FDOT 430-011,
End_Sections,U-Type Endwall,24",2:1,$2040,EA,FDOT 430-011,
End_Sections,U-Type Endwall,24",2:1 with Grate,$2040,EA,FDOT 430-011,
End_Sections,U-Type Endwall,24",2:1 with Baffles,$2040,EA,FDOT 430-011,
End_Sections,U-Type Endwall,24",2:1 with Grate and Baffles,$2040,EA,FDOT 430-011,
End_Sections,U-Type Endwall,30",2:1,$2704,EA,FDOT 430-011,
End_Sections,U-Type Endwall,30",2:1 with Grate,$2704,EA,FDOT 430-011,
End_Sections,U-Type Endwall,30",2:1 with Baffles,$2704,EA,FDOT 430-011,
End_Sections,U-Type Endwall,30",2:1 with Grate and Baffles,$2704,EA,FDOT 430-011,
End_Sections,U-Type Endwall,15",3:1,$964,EA,FDOT 430-011,
End_Sections,U-Type Endwall,15",3:1 with Grate,$964,EA,FDOT 430-011,
End_Sections,U-Type Endwall,15",3:1 with Baffles,$964,EA,FDOT 430-011,
End_Sections,U-Type Endwall,15",3:1 with Grate and Baffles,$964,EA,FDOT 430-011,
End_Sections,U-Type Endwall,18",3:1,$1152,EA,FDOT 430-011,
End_Sections,U-Type Endwall,18",3:1 with Grate,$1152,EA,FDOT 430-011,
End_Sections,U-Type Endwall,18",3:1 with Baffles,$1152,EA,FDOT 430-011,
End_Sections,U-Type Endwall,18",3:1 with Grate and Baffles,$1152,EA,FDOT 430-011,
End_Sections,U-Type Endwall,24",3:1,$1572,EA,FDOT 430-011,
End_Sections,U-Type Endwall,24",3:1 with Grate,$1572,EA,FDOT 430-011,
End_Sections,U-Type Endwall,24",3:1 with Baffles,$1572,EA,FDOT 430-011,
End_Sections,U-Type Endwall,24",3:1 with Grate and Baffles,$1572,EA,FDOT 430-011,
End_Sections,U-Type Endwall,30",3:1,$2056,EA,FDOT 430-011,
End_Sections,U-Type Endwall,30",3:1 with Grate,$2056,EA,FDOT 430-011,
End_Sections,U-Type Endwall,30",3:1 with Baffles,$2056,EA,FDOT 430-011,
End_Sections,U-Type Endwall,30",3:1 with Grate and Baffles,$2056,EA,FDOT 430-011,
End_Sections,U-Type Endwall,15",4:1,$1248,EA,FDOT 430-011,
End_Sections,U-Type Endwall,15",4:1 with Grate,$1248,EA,FDOT 430-011,
End_Sections,U-Type Endwall,15",4:1 with Baffles,$1248,EA,FDOT 430-011,
End_Sections,U-Type Endwall,15",4:1 with Grate and Baffles,$1248,EA,FDOT 430-011,
End_Sections,U-Type Endwall,18",4:1,$1492,EA,FDOT 430-011,
End_Sections,U-Type Endwall,18",4:1 with Grate,$1492,EA,FDOT 430-011,
End_Sections,U-Type Endwall,18",4:1 with Baffles,$1492,EA,FDOT 430-011,
End_Sections,U-Type Endwall,18",4:1 with Grate and Baffles,$1492,EA,FDOT 430-011,
End_Sections,U-Type Endwall,24",4:1,$2048,EA,FDOT 430-011,
End_Sections,U-Type Endwall,24",4:1 with Grate,$2048,EA,FDOT 430-011,
End_Sections,U-Type Endwall,24",4:1 with Baffles,$2048,EA,FDOT 430-011,
End_Sections,U-Type Endwall,24",4:1 with Grate and Baffles,$2048,EA,FDOT 430-011,
End_Sections,U-Type Endwall,30",4:1,$2704,EA,FDOT 430-011,
End_Sections,U-Type Endwall,30",4:1 with Grate,$2704,EA,FDOT 430-011,
End_Sections,U-Type Endwall,30",4:1 with Baffles,$2704,EA,FDOT 430-011,
End_Sections,U-Type Endwall,30",4:1 with Grate and Baffles,$2704,EA,FDOT 430-011,
End_Sections,U-Type Endwall,15",6:1,$1772,EA,FDOT 430-011,
End_Sections,U-Type Endwall,15",6:1 with Grate,$1772,EA,FDOT 430-011,
End_Sections,U-Type Endwall,15",6:1 with Baffles,$1772,EA,FDOT 430-011,
End_Sections,U-Type Endwall,15",6:1 with Grate and Baffles,$1772,EA,FDOT 430-011,
End_Sections,U-Type Endwall,18",6:1,$2132,EA,FDOT 430-011,
End_Sections,U-Type Endwall,18",6:1 with Grate,$2132,EA,FDOT 430-011,
End_Sections,U-Type Endwall,18",6:1 with Baffles,$2132,EA,FDOT 430-011,
End_Sections,U-Type Endwall,18",6:1 with Grate and Baffles,$2132,EA,FDOT 430-011,
End_Sections,U-Type Endwall,24",6:1,$2908,EA,FDOT 430-011,
End_Sections,U-Type Endwall,24",6:1 with Grate,$2908,EA,FDOT 430-011,
End_Sections,U-Type Endwall,24",6:1 with Baffles,$2908,EA,FDOT 430-011,
End_Sections,U-Type Endwall,24",6:1 with Grate and Baffles,$2908,EA,FDOT 430-011,
End_Sections,U-Type Endwall,30",6:1,$3896,EA,FDOT 430-011,
End_Sections,U-Type Endwall,30",6:1 with Grate,$3896,EA,FDOT 430-011,
End_Sections,U-Type Endwall,30",6:1 with Baffles,$3896,EA,FDOT 430-011,
End_Sections,U-Type Endwall,30",6:1 with Grate and Baffles,$3896,EA,FDOT 430-011,
MES_Pipe_Grates,Galvanized Steel 4:1 MES,12 X 18,Single Run No Frame,$540,EA,,
MES_Pipe_Grates,Galvanized Steel 4:1 MES,12 X 18,Single Run With Frame,$600,EA,,
MES_Pipe_Grates,Galvanized Steel 4:1 MES,12 X 18,Double Run No Frame,$995,EA,,
MES_Pipe_Grates,Galvanized Steel 4:1 MES,12 X 18,Double Run With Frame,$1066,EA,,
MES_Pipe_Grates,Galvanized Steel 4:1 MES,12 X 18,Triple Run No Frame,$1397,EA,,
MES_Pipe_Grates,Galvanized Steel 4:1 MES,12 X 18,Triple Run With Frame,$1591,EA,,
MES_Pipe_Grates,Galvanized Steel 4:1 MES,14 X 23,Single Run No Frame,$810,EA,,
MES_Pipe_Grates,Galvanized Steel 4:1 MES,14 X 23,Single Run With Frame,$872,EA,,
MES_Pipe_Grates,Galvanized Steel 4:1 MES,14 X 23,Double Run No Frame,$1418,EA,,
MES_Pipe_Grates,Galvanized Steel 4:1 MES,14 X 23,Double Run With Frame,$1513,EA,,
MES_Pipe_Grates,Galvanized Steel 4:1 MES,14 X 23,Triple Run No Frame,$2130,EA,,
MES_Pipe_Grates,Galvanized Steel 4:1 MES,14 X 23,Triple Run With Frame,$2254,EA,,
MES_Pipe_Grates,Galvanized Steel 4:1 MES,19 X 30,Single Run No Frame,$1090,EA,,
MES_Pipe_Grates,Galvanized Steel 4:1 MES,19 X 30,Single Run With Frame,$1165,EA,,
MES_Pipe_Grates,Galvanized Steel 4:1 MES,19 X 30,Double Run No Frame,$2100,EA,,
MES_Pipe_Grates,Galvanized Steel 4:1 MES,19 X 30,Double Run With Frame,$2214,EA,,
MES_Pipe_Grates,Galvanized Steel 4:1 MES,19 X 30,Triple Run No Frame,$3087,EA,,
MES_Pipe_Grates,Galvanized Steel 4:1 MES,19 X 30,Triple Run With Frame,$3241,EA,,
MES_Pipe_Grates,Galvanized Steel 4:1 MES,24 X 38,Single Run No Frame,$1477,EA,,
MES_Pipe_Grates,Galvanized Steel 4:1 MES,24 X 38,Single Run With Frame,$1570,EA,,
MES_Pipe_Grates,Galvanized Steel 4:1 MES,24 X 38,Double Run No Frame,$2934,EA,,
MES_Pipe_Grates,Galvanized Steel 4:1 MES,24 X 38,Double Run With Frame,$3071,EA,,
MES_Pipe_Grates,Galvanized Steel 4:1 MES,24 X 38,Triple Run No Frame,$4390,EA,,
MES_Pipe_Grates,Galvanized Steel 4:1 MES,24 X 38,Triple Run With Frame,$4574,EA,,
MES_Pipe_Grates,Galvanized Steel 4:1 MES,29 X 45,Single Run No Frame,$2684,EA,,
MES_Pipe_Grates,Galvanized Steel 4:1 MES,29 X 45,Single Run With Frame,$2807,EA,,
MES_Pipe_Grates,Galvanized Steel 4:1 MES,29 X 45,Double Run No Frame,$5280,EA,,
MES_Pipe_Grates,Galvanized Steel 4:1 MES,29 X 45,Double Run With Frame,$5465,EA,,
MES_Pipe_Grates,Galvanized Steel 4:1 MES,29 X 45,Triple Run No Frame,$11380,EA,,
MES_Pipe_Grates,Galvanized Steel 4:1 MES,29 X 45,Triple Run With Frame,$11627,EA,,
MES_Pipe_Grates,Galvanized Steel 4:1 MES,34 X 53,Single Run No Frame,$3400,EA,,
MES_Pipe_Grates,Galvanized Steel 4:1 MES,34 X 53,Single Run With Frame,$3698,EA,,
MES_Pipe_Grates,Galvanized Steel 4:1 MES,34 X 53,Double Run No Frame,$7255,EA,,
MES_Pipe_Grates,Galvanized Steel 4:1 MES,34 X 53,Double Run With Frame,$7441,EA,,
MES_Pipe_Grates,Galvanized Steel 4:1 MES,34 X 53,Triple Run No Frame,$11380,EA,,
MES_Pipe_Grates,Galvanized Steel 4:1 MES,34 X 53,Triple Run With Frame,$11438,EA,,
MES_Pipe_Grates,Galvanized Steel 4:1 MES,38 X 60,Single Run No Frame,$4495,EA,,
MES_Pipe_Grates,Galvanized Steel 4:1 MES,38 X 60,Single Run With Frame,$4647,EA,,
MES_Pipe_Grates,Galvanized Steel 4:1 MES,38 X 60,Double Run No Frame,$9020,EA,,
MES_Pipe_Grates,Galvanized Steel 4:1 MES,38 X 60,Double Run With Frame,$8628,EA,,
MES_Pipe_Grates,Galvanized Steel 4:1 MES,38 X 60,Triple Run No Frame,call for pricing,EA,,
MES_Pipe_Grates,Galvanized Steel 4:1 MES,38 X 60,Triple Run With Frame,call for pricing,EA,,
MES_Pipe_Grates,Galvanized Steel 4:1 MES,43 X 68,Single Run No Frame,$5205,EA,,
MES_Pipe_Grates,Galvanized Steel 4:1 MES,43 X 68,Single Run With Frame,$5370,EA,,
MES_Pipe_Grates,Galvanized Steel 4:1 MES,43 X 68,Double Run No Frame,$10997,EA,,
MES_Pipe_Grates,Galvanized Steel 4:1 MES,43 X 68,Double Run With Frame,$10493,EA,,
MES_Pipe_Grates,Galvanized Steel 4:1 MES,43 X 68,Triple Run No Frame,call for pricing,EA,,
MES_Pipe_Grates,Galvanized Steel 4:1 MES,43 X 68,Triple Run With Frame,call for pricing,EA,,
MES_Pipe_Grates,Galvanized Steel 4:1 MES,48 X 76,Single Run No Frame,$8711,EA,,
MES_Pipe_Grates,Galvanized Steel 4:1 MES,48 X 76,Single Run With Frame,$8882,EA,,
MES_Pipe_Grates,Galvanized Steel 4:1 MES,48 X 76,Double Run No Frame,$17365,EA,,
MES_Pipe_Grates,Galvanized Steel 4:1 MES,48 X 76,Double Run With Frame,$17585,EA,,
MES_Pipe_Grates,Galvanized Steel 4:1 MES,48 X 76,Triple Run No Frame,call for pricing,EA,,
MES_Pipe_Grates,Galvanized Steel 4:1 MES,48 X 76,Triple Run With Frame,call for pricing,EA,,
MES_Pipe_Grates,Galvanized Steel 4:1 MES,58 X 91,Single Run No Frame,$9894,EA,,
MES_Pipe_Grates,Galvanized Steel 4:1 MES,58 X 91,Single Run With Frame,$10085,EA,,
MES_Pipe_Grates,Galvanized Steel 4:1 MES,58 X 91,Double Run No Frame,$18577,EA,,
MES_Pipe_Grates,Galvanized Steel 4:1 MES,58 X 91,Double Run With Frame,call for pricing,EA,,
MES_Pipe_Grates,Galvanized Steel 4:1 MES,58 X 91,Triple Run No Frame,call for pricing,EA,,
MES_Pipe_Grates,Galvanized Steel 4:1 MES,58 X 91,Triple Run With Frame,call for pricing,EA,,
MES_Pipe_Grates,Galvanized Steel 4:1 MES,15",Single Run No Frame,$608,EA,,
MES_Pipe_Grates,Galvanized Steel 4:1 MES,15",Single Run With Frame,$680,EA,,
MES_Pipe_Grates,Galvanized Steel 4:1 MES,15",Double Run No Frame,$1115,EA,,
MES_Pipe_Grates,Galvanized Steel 4:1 MES,15",Double Run With Frame,$1185,EA,,
MES_Pipe_Grates,Galvanized Steel 4:1 MES,15",Triple Run No Frame,$1500,EA,,
MES_Pipe_Grates,Galvanized Steel 4:1 MES,15",Triple Run With Frame,$1785,EA,,
MES_Pipe_Grates,Galvanized Steel 4:1 MES,18",Single Run No Frame,$864,EA,,
MES_Pipe_Grates,Galvanized Steel 4:1 MES,18",Single Run With Frame,$952,EA,,
MES_Pipe_Grates,Galvanized Steel 4:1 MES,18",Double Run No Frame,$1495,EA,,
MES_Pipe_Grates,Galvanized Steel 4:1 MES,18",Double Run With Frame,$1630,EA,,
MES_Pipe_Grates,Galvanized Steel 4:1 MES,18",Triple Run No Frame,$2592,EA,,
MES_Pipe_Grates,Galvanized Steel 4:1 MES,18",Triple Run With Frame,$2771,EA,,
